Month,Imports,DealerSubs,ImportRevenue,DealerRevenue,PartsRevenue,TotalRevenue,GrossProfit,Opex,NetCashflow,CashBalance
1,3,5,36000,1500,1600,39100,30100,25000,5100,605100
2,4,8,48000,2400,1840,52240,40240,25000,15240,620340
3,4,11,48000,3300,2116,53416,41416,25000,16416,636756
4,5,14,60000,4200,2433,66633,51633,25000,26633,663389
5,6,17,72000,5100,2798,79898,61898,25000,36898,700287
6,7,20,84000,6000,3218,93218,72218,25000,47218,747505
7,9,23,108000,6900,3701,118601,91601,25000,66601,814106
8,11,26,132000,7800,4256,144056,111056,25000,86056,900162
9,13,29,156000,8700,4894,169594,130594,25000,105594,1005756
10,15,32,180000,9600,5629,195229,150229,25000,125229,1130985
11,19,35,228000,10500,6473,244973,187973,25000,162973,1293958
12,22,38,264000,11400,7444,282844,216844,25000,191844,1485802
